iter	Passed	Remaining
467	732	832
468	733	830
469	735	828
470	736	826
471	737	824
472	738	822
473	738	820
474	739	817
475	740	815
476	741	813
477	742	810
478	743	808
479	744	806
480	745	804
481	746	802
482	747	800
483	749	799
484	751	797
485	752	795
486	753	793
487	754	791
488	755	789
489	756	787
490	757	785
491	758	783
492	759	781
493	760	779
494	761	777
495	763	775
496	764	774
497	766	772
498	767	770
499	768	768
500	769	766
501	770	764
502	771	762
503	772	760
504	773	758
505	774	756
506	776	754
507	777	752
508	779	751
509	780	749
510	781	747
511	782	746
512	783	744
513	784	742
514	785	740
515	786	738
516	788	736
517	789	734
518	790	732
519	791	730
520	793	729
521	794	727
522	796	726
523	797	724
524	798	722
525	799	720
526	800	718
527	801	716
528	803	715
529	804	713
530	805	711
531	806	709
532	808	708
533	810	707
534	811	705
535	812	703
536	813	701
537	814	699
538	815	697
539	816	695
540	817	693
541	818	691
542	819	690
543	820	688
544	822	686
545	823	685
546	825	683
547	827	682
548	828	680
549	830	679
550	831	677
551	832	675
552	833	673
553	834	671
554	835	670
555	837	668
556	838	667
557	840	665
558	841	663
559	842	661
560	843	659
561	844	658
562	845	656
563	846	654
564	847	652
565	849	651
566	850	649
567	851	647
568	852	645
569	853	644
570	854	642
571	855	640
572	856	638
573	857	636
574	858	634
575	859	632
576	860	631
577	861	629
578	862	627
579	863	625
580	864	623
581	865	621
582	866	620
583	868	618
584	869	617
585	870	615
586	872	613
587	873	611
588	873	609
589	875	608
590	876	606
591	877	604
592	879	603
593	880	601
594	882	600
595	884	599
596	885	597
597	886	595
598	887	594
599	888	592
600	889	590
601	890	589
602	892	587
603	893	585
604	894	583
605	895	582
606	896	580
607	899	580
608	901	578
609	902	576
610	903	575
611	904	573
612	905	571
613	906	570
614	907	568
615	908	566
616	909	564
617	910	563
618	912	561
619	913	560
620	915	558
621	916	556
622	917	554
623	918	553
624	918	551
625	919	549
626	920	547
627	921	546
628	922	544
629	923	542
630	924	540
631	926	539
632	927	537
633	929	536
634	930	534
635	931	532
636	932	531
637	933	529
638	934	527
639	935	526
640	936	524
641	937	522
642	938	520
643	939	519
644	940	517
645	941	515
646	943	514
647	944	512
648	945	511
649	946	509
650	947	507
651	948	506
652	949	504
653	950	502
654	951	501
655	952	499
656	953	497
657	954	496
658	955	494
659	956	492
660	958	491
661	959	489
662	960	488
663	961	486
664	962	484
665	963	483
666	964	481
667	965	479
668	966	478
669	967	476
670	968	474
671	969	473
672	970	471
673	971	469
674	972	468
675	974	466
676	975	465
677	976	463
678	977	462
679	978	460
680	979	458
681	980	457
682	981	455
683	982	453
684	983	452
685	984	450
686	985	448
687	986	447
688	988	446
689	989	444
690	990	442
691	991	441
692	992	439
693	993	438
694	994	436
695	995	434
696	996	433
697	997	431
698	998	429
699	999	428
700	1000	426
701	1001	425
702	1003	423
703	1004	422
704	1005	420
705	1006	418
706	1007	417
707	1008	415
708	1009	414
709	1010	412
710	1011	411
711	1012	409
712	1013	407
713	1014	406
714	1015	404
715	1016	403
716	1018	401
717	1019	400
718	1020	398
719	1021	397
720	1022	395
721	1023	393
722	1024	392
723	1025	390
724	1026	389
725	1027	387
726	1028	386
727	1029	384
728	1029	382
729	1030	381
730	1032	379
731	1033	378
732	1034	376
733	1035	375
734	1037	373
735	1038	372
736	1039	370
737	1040	369
738	1041	367
739	1042	366
740	1043	364
741	1044	363
