iter	RMSE
223	4.754934678
224	4.751867341
225	4.748195718
226	4.745370575
227	4.743294348
228	4.737551309
229	4.732773755
230	4.729100184
231	4.724299223
232	4.723673604
233	4.720613957
234	4.718742008
235	4.713583746
236	4.71087979
237	4.707153882
238	4.701623908
239	4.699011003
240	4.693219172
241	4.689173751
242	4.684502873
243	4.682282364
244	4.675309864
245	4.673479908
246	4.671317185
247	4.667217194
248	4.661923434
249	4.659696292
250	4.657770727
251	4.651192288
252	4.647424387
253	4.640906272
254	4.63843892
255	4.632568639
256	4.630666546
257	4.6240582
258	4.621523018
259	4.617420701
260	4.614988919
261	4.613021161
262	4.608243411
263	4.603199061
264	4.598173449
265	4.594449135
266	4.588673424
267	4.588276423
268	4.584807546
269	4.582903822
270	4.578729585
271	4.572780656
272	4.569006303
273	4.565751283
274	4.56403164
275	4.560645113
276	4.558285268
277	4.555904185
278	4.551856824
279	4.546106263
280	4.543513874
281	4.5379946
282	4.532703315
283	4.532049614
284	4.531541006
285	4.528857758
286	4.523204286
287	4.517822787
288	4.513565924
289	4.508943195
290	4.506998784
291	4.503968762
292	4.497675591
293	4.494868509
294	4.491879908
295	4.490380762
296	4.486352942
297	4.483999593
298	4.481466793
299	4.477658129
300	4.471570529
301	4.466753384
302	4.461068134
303	4.459638004
304	4.459160909
305	4.457783099
306	4.454943392
307	4.454464304
308	4.4493338
309	4.44342041
310	4.439449536
311	4.438996565
312	4.43620024
313	4.431988125
314	4.425369507
315	4.422474468
316	4.419577306
317	4.417223102
318	4.41522033
319	4.41485504
320	4.411999039
321	4.411037617
322	4.40995545
323	4.405505602
324	4.405085322
325	4.401849527
326	4.400600044
327	4.396342608
328	4.394149168
329	4.391708631
330	4.390425544
331	4.385884255
332	4.381382145
333	4.377161352
334	4.376766687
335	4.371979847
336	4.36607369
337	4.362783369
338	4.358341936
339	4.352261159
340	4.349668983
341	4.346304054
342	4.343353261
343	4.338559199
344	4.337384759
345	4.334270001
346	4.330940852
347	4.327396731
348	4.325275388
349	4.321686713
350	4.321278833
351	4.317382204
352	4.312313014
353	4.307674057
354	4.307158868
355	4.303974043
356	4.303685014
357	4.301366271
358	4.298352578
359	4.29247902
360	4.290326132
361	4.284768391
362	4.281334442
363	4.279141402
364	4.276132014
365	4.273030629
366	4.269987953
367	4.267409644
368	4.263855453
369	4.258931147
370	4.254917819
371	4.250266558
372	4.247303595
373	4.246101739
374	4.245724478
375	4.240844695
376	4.236305393
377	4.231062322
378	4.228317832
379	4.225933712
380	4.225456227
381	4.221047849
382	4.220762519
383	4.220475413
384	4.218402477
385	4.215411719
386	4.214353735
387	4.212279468
388	4.209608878
389	4.206722155
390	4.203217717
391	4.198997097
392	4.19873255
393	4.196127302
394	4.194277019
395	4.188190367
396	4.183677514
397	4.178861615
398	4.174237468
399	4.17215083
400	4.169541592
401	4.165522795
402	4.160861505
403	4.158394398
404	4.154607064
405	4.150443708
406	4.146181453
407	4.140810592
408	4.139859515
409	4.137970608
410	4.133415998
411	4.128984853
412	4.12569072
413	4.12090457
414	4.118376427
415	4.112802196
416	4.111011068
417	4.106978217
418	4.103085723
419	4.100276948
420	4.096934052
421	4.095596553
422	4.095250496
423	4.093886187
424	4.090720744
425	4.086713665
426	4.085060725
427	4.081854849
428	4.078244641
429	4.077294332
430	4.075073039
431	4.073181272
432	4.072920828
433	4.072600765
434	4.072277428
435	4.068907351
436	4.066770665
437	4.066641235
438	4.063519469
439	4.059960336
440	4.056939844
441	4.053838883
442	4.050725431
443	4.046501854
444	4.042868784
445	4.042429408
446	4.041014306
447	4.037393412
448	4.033821164
449	4.029019748
450	4.026726177
451	4.021817002
452	4.017183847
453	4.016214241
454	4.01326434
455	4.009849078
456	4.00679184
457	4.00467969
458	4.004298765
459	4.000235031
460	3.9969137
461	3.996684363
462	3.992691896
463	3.990642178
464	3.98892248
465	3.984325657
466	3.982752818
467	3.979307531
468	3.976361788
469	3.974680778
470	3.972948963
471	3.970657088
472	3.96600863
473	3.963358451
474	3.95945319
475	3.956958613
476	3.956593726
477	3.953989881
478	3.950083693
479	3.94864591
480	3.948257041
481	3.943643993
482	3.940138004
483	3.936139699
484	3.933296967
485	3.927618593
486	3.92671364
487	3.922762123
488	3.921867992
489	3.920019412
490	3.916077759
491	3.914048109
492	3.911996948
493	3.908221315
494	3.907873346
495	3.906100506
496	3.90249459
497	3.901499268
498	3.898931193
499	3.896642729
500	3.89444497
501	3.893087786
502	3.889035958
503	3.884320859
504	3.880864635
505	3.879398815
506	3.876238686
507	3.876047325
508	3.873609228
509	3.871380861
510	3.870245159
511	3.866209549
512	3.86156849
513	3.85755243
514	3.854559269
515	3.850151627
516	3.8473368
517	3.843496283
518	3.839823047
519	3.836713316
520	3.832993525
521	3.831532461
522	3.827768073
523	3.825863539
524	3.825341444
525	3.821687753
526	3.819731398
527	3.817115795
528	3.813172306
529	3.809375705
530	3.805429897
531	3.80444255
532	3.802116422
533	3.79917943
534	3.797839555
535	3.79689854
536	3.79403938
537	3.791713927
538	3.788618079
539	3.784678119
540	3.781544182
541	3.781036714
542	3.778205031
543	3.774923004
544	3.773222354
545	3.769839122
546	3.767614088
547	3.765185921
548	3.763816357
549	3.761232113
550	3.760992334
551	3.757404075
552	3.753681104
553	3.750234242
554	3.748774077
555	3.747016461
556	3.745038518
557	3.742047678
558	3.739060421
559	3.738143245
560	3.735118702
561	3.734142493
562	3.730440686
563	3.726688675
564	3.724244296
565	3.720885364
566	3.71842306
567	3.717652976
568	3.716067275
569	3.7129681
570	3.711102539
571	3.708623993
572	3.70827575
573	3.706870456
574	3.705488002
575	3.704047848
576	3.702758523
577	3.701469199
578	3.700678318
579	3.699578832
580	3.69902138
581	3.696960627
582	3.695630336
583	3.692995956
584	3.690879992
585	3.689866301
586	3.685536813
587	3.683184385
588	3.681802792
589	3.681046793
590	3.678053615
591	3.676611155
592	3.676211896
593	3.672930381
594	3.671315247
595	3.670990155
596	3.668258766
597	3.667363805
598	3.664372915
599	3.661204809
600	3.660939031
601	3.659651071
602	3.658695441
603	3.655322523
604	3.655009017
605	3.654045898
606	3.650834065
607	3.647855296
608	3.646232766
609	3.645238444
610	3.644953499
611	3.642464353
612	3.641746604
613	3.638121234
614	3.634695354
615	3.632034545
616	3.629848059
617	3.626741607
618	3.623704848
619	3.621303836
620	3.619716363
621	3.616993373
622	3.616316174
623	3.612825328
624	3.61021694
625	3.609585699
626	3.606933993
627	3.604456556
628	3.604061565
629	3.60355238
630	3.601101351
631	3.600222473
632	3.596998202
633	3.593914957
634	3.592950459
635	3.592463357
636	3.59125915
637	3.588848084
638	3.585821489
639	3.585253694
640	3.584939148
641	3.582220202
642	3.579765927
643	3.57764995
644	3.574724842
645	3.57112831
646	3.567689252
647	3.565649659
648	3.562127237
649	3.561954471
650	3.561044806
651	3.559260865
652	3.558323219
653	3.555275707
654	3.551331568
655	3.547709016
656	3.544419296
657	3.542888651
658	3.54236653
659	3.539491197
660	3.537041882
661	3.535631864
662	3.532076622
663	3.529547697
664	3.528545254
665	3.525740767
666	3.52244218
667	3.520350357
668	3.518993063
669	3.516737664
670	3.513478529
671	3.513283972
672	3.511309904
673	3.508868688
674	3.5062394
675	3.503281845
676	3.500714925
677	3.498472953
678	3.496545232
679	3.494562698
680	3.492488438
681	3.490238465
682	3.487602657
683	3.485446259
684	3.483403506
685	3.481192916
686	3.479439032
687	3.479074652
688	3.478924009
689	3.475689267
690	3.473389121
691	3.472407702
692	3.469647213
693	3.467392876
694	3.467082334
695	3.466062741
696	3.464862267
697	3.462766808
698	3.46114565
699	3.459044443
700	3.457085335
701	3.456676968
702	3.456453375
703	3.454534445
704	3.454129371
705	3.450264977
706	3.450009956
707	3.448822587
708	3.447819018
709	3.444989703
710	3.444021619
711	3.442703755
712	3.440190935
713	3.438379282
714	3.437881505
715	3.436099573
716	3.432715386
717	3.432105694
718	3.430396407
719	3.42922419
720	3.427931846
721	3.4273521
722	3.424832333
723	3.423574993
724	3.422847102
725	3.419175438
726	3.417280998
727	3.415225531
728	3.412975759
729	3.411244044
730	3.409690484
731	3.406344957
732	3.403367853
733	3.401867977
734	3.398043697
735	3.39577022
736	3.394277215
737	3.393628939
738	3.392586516
739	3.390981576
740	3.389096415
741	3.386947875
742	3.384327911
743	3.38286884
744	3.381942313
745	3.379738786
746	3.376817356
747	3.375272243
748	3.37423995
749	3.37093282
750	3.368141039
751	3.365633546
752	3.364921785
753	3.363389711
754	3.359982678
755	3.358013568
756	3.355608262
757	3.35321663
758	3.351945601
759	3.351139098
760	3.347978177
761	3.346585139
762	3.344822953
763	3.343486966
764	3.340004957
765	3.336470223
766	3.333811562
767	3.332333394
768	3.330085715
769	3.328825774
770	3.326629205
771	3.324803602
772	3.322580489
773	3.321426723
774	3.320216853
775	3.319907321
776	3.317190553
777	3.315754466
778	3.314346618
779	3.313426977
780	3.310972497
781	3.308119499
782	3.305444464
783	3.302841171
784	3.302611346
785	3.30071177
786	3.299774866
787	3.298896752
788	3.297644352
789	3.29682244
790	3.294168918
791	3.293485127
792	3.290789583
793	3.287552427
794	3.287374248
795	3.286604313
796	3.284495311
797	3.283183965
798	3.281923945
799	3.280360404
800	3.280055497
801	3.277386148
802	3.276214519
803	3.27550369
804	3.27390695
805	3.273012784
806	3.270450381
807	3.26973638
808	3.266836357
809	3.265976874
810	3.263506183
811	3.261771281
812	3.258415538
813	3.258060999
814	3.256055485
815	3.2543979
816	3.25202097
817	3.24955032
818	3.249321869
819	3.246096671
820	3.244134753
821	3.241088844
822	3.240632596
823	3.240292076
824	3.239401526
825	3.23894443
826	3.238136258
827	3.236334963
828	3.233741514
829	3.23126683
830	3.228819077
831	3.228001205
832	3.22774601
833	3.224724976
834	3.222318909
835	3.221216842
836	3.219905515
837	3.219752383
838	3.216577404
839	3.214068574
840	3.213046001
841	3.209122087
842	3.208498702
843	3.20667348
844	3.204495091
845	3.203746667
846	3.202871033
847	3.200955825
848	3.197889725
849	3.196652927
850	3.196064214
851	3.194022366
852	3.191200901
853	3.188378155
854	3.187609512
855	3.185038928
856	3.184503941
857	3.182185459
858	3.179304006
859	3.178646697
860	3.178359591
861	3.178057537
862	3.176344362
863	3.176095883
864	3.173475484
865	3.171400329
866	3.168647855
867	3.167966038
868	3.16643618
869	3.163811461
870	3.162445186
871	3.1607607
872	3.160338448
873	3.157920984
874	3.156502516
875	3.155622124
876	3.153269279
877	3.150953876
878	3.149388935
879	3.147894497
880	3.147594552
881	3.143607156
882	3.142763088
883	3.141840505
884	3.139003165
885	3.137250423
886	3.135012029
887	3.132897777
888	3.129422048
889	3.128161507
890	3.126161669
891	3.125394641
892	3.124829127
893	3.121916399
894	3.120283419
895	3.118145515
896	3.115406396
897	3.113425857
898	3.112782141
899	3.109961328
900	3.105954399
901	3.105397584
902	3.103773083
903	3.103218313
904	3.102439062
905	3.101697964
906	3.099855209
907	3.096949456
908	3.09454792
909	3.093123087
910	3.09274897
911	3.091702394
912	3.089641307
913	3.087999152
914	3.087303192
915	3.08650582
916	3.084618617
917	3.083287041
918	3.08087718
919	3.080291148
920	3.078697057
921	3.075659825
922	3.074114538
923	3.072957371
924	3.070802871
925	3.070375998
926	3.068655186
927	3.068209432
928	3.067427454
929	3.065771202
930	3.063975239
931	3.062715088
932	3.060662538
933	3.058352228
934	3.055899463
935	3.055089586
936	3.053216494
937	3.052912237
938	3.051415834
939	3.049548158
940	3.049363521
941	3.047936193
942	3.046145472
943	3.04336063
944	3.041145193
945	3.039939437
946	3.037730807
947	3.035002667
948	3.033805864
949	3.033556372
950	3.031897285
951	3.031712879
952	3.030215311
953	3.02827876
954	3.026076743
955	3.025771389
956	3.023063942
957	3.022465625
958	3.02028225
959	3.017583522
960	3.015894357
961	3.013938575
962	3.013357355
963	3.012682402
964	3.010087292
965	3.009549043
966	3.007835341
967	3.005550924
968	3.00514872
969	3.003214968
970	3.001280224
971	2.999723686
972	2.997563862
973	2.994949876
974	2.993259825
975	2.993079251
976	2.991665449
977	2.990790801
978	2.988810208
979	2.984998872
980	2.98480732
981	2.983369607
982	2.982458002
983	2.978960048
984	2.977121768
985	2.975982945
986	2.975842236
987	2.975606716
988	2.975504583
989	2.974525616
990	2.973679138
991	2.973518946
992	2.971984106
993	2.970317677
994	2.97021433
995	2.9696182
996	2.969463149
997	2.966909367
998	2.965536144
999	2.965411386
